trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
123,False,"{'a': 0.4, 'e': 0.5079999999999996}",25,0,-45.29238216961358,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
124,False,"{'a': 0.4, 'e': 0.5039999999999996}",25,15,15.006194979452594,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.4, 'e': 0.49999999999999956}",35,18,-11.389676731006379,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 0}",1
126,False,"{'a': 0.4, 'e': 0.49599999999999955}",25,10,-55.915952293897156,"{0: 7, 1: 3, 2: 5, 3: 0, 4: 0}",1
127,False,"{'a': 0.4, 'e': 0.49199999999999955}",20,12,-7.426964690799373,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
128,False,"{'a': 0.4, 'e': 0.48799999999999955}",20,9,14.546276189347651,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.4, 'e': 0.48399999999999954}",20,2,-80.25838216524488,"{0: 15, 1: 0, 2: 0, 3: 1, 4: 2}",1
130,False,"{'a': 0.4, 'e': 0.47999999999999954}",20,12,0.28061731999600803,"{0: 6, 1: 2, 2: 0, 3: 0, 4: 0}",1
131,False,"{'a': 0.4, 'e': 0.47599999999999953}",25,0,-63.1873501515258,"{0: 20, 1: 2, 2: 0, 3: 2, 4: 1}",0
132,False,"{'a': 0.4, 'e': 0.47199999999999953}",20,0,-48.63810291668733,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
133,False,"{'a': 0.4, 'e': 0.4679999999999995}",20,14,-2.779029829090323,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.4, 'e': 0.4639999999999995}",25,0,-39.7926028198422,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
135,False,"{'a': 0.4, 'e': 0.4599999999999995}",30,0,-57.46698672446151,"{0: 24, 1: 2, 2: 2, 3: 1, 4: 1}",1
136,False,"{'a': 0.4, 'e': 0.4559999999999995}",20,9,-3.3298870864071635,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
