trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
108,False,"{'a': 0.5, 'e': 0.5679999999999996}",30,20,-14.854101784589103,"{0: 7, 1: 0, 2: 3, 3: 0, 4: 0}",1
109,False,"{'a': 0.5, 'e': 0.5639999999999996}",35,13,-7.826140841586195,"{0: 18, 1: 1, 2: 3, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.5599999999999996}",25,9,-71.45634825867477,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 2}",1
111,False,"{'a': 0.5, 'e': 0.5559999999999996}",25,0,-86.69581819922031,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.5519999999999996}",25,12,-1.6501937515619505,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
113,False,"{'a': 0.5, 'e': 0.5479999999999996}",25,0,-139.11982008682574,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 3}",0
114,False,"{'a': 0.5, 'e': 0.5439999999999996}",25,15,-46.639474766853276,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
115,False,"{'a': 0.5, 'e': 0.5399999999999996}",30,16,-30.9287452551881,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.5359999999999996}",20,0,-42.54019366256453,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
117,False,"{'a': 0.5, 'e': 0.5319999999999996}",25,9,4.9747070057574465,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
118,False,"{'a': 0.5, 'e': 0.5279999999999996}",20,0,-60.44989867533915,"{0: 15, 1: 0, 2: 2, 3: 3, 4: 0}",0
119,False,"{'a': 0.5, 'e': 0.5239999999999996}",25,0,-3.869371978119256,"{0: 22, 1: 2, 2: 0, 3: 1, 4: 0}",0
120,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,14,12.252322447777306,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.5, 'e': 0.5159999999999996}",20,0,-27.954086463472883,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
122,False,"{'a': 0.5, 'e': 0.5119999999999996}",20,0,-53.67214304018011,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
123,False,"{'a': 0.5, 'e': 0.5079999999999996}",30,0,-23.37136962456389,"{0: 25, 1: 2, 2: 1, 3: 2, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.5039999999999996}",20,0,11.516949265408194,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
